Ticker,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Forecast Price (30d),Current Price,Forecast Change (%),Current Market Cap (B),Forecast Market Cap (B)
CPRT,0.307,0.1025,0.2651,0.39,46.2,46.189998626708984,0.02,44.657942528,44.6724432
CNM,1.3343,0.2893,0.389,0.74,64.04,63.959999084472656,0.13,12.608243712,12.145442160000002
GLW,0.8342,0.1939,0.288,0.67,65.94,65.7699966430664,0.26,56.339828736,56.48545738751999
CPAY,0.1649,0.0875,0.3132,0.28,302.56,301.70001220703125,0.29,21.304365056,21.365092864
CTVA,0.6046,0.1564,0.2746,0.57,70.86,70.91000366210938,-0.07,48.154984448,48.121028267519996
CSGP,0.1254,0.0861,0.336,0.26,94.51,94.5,0.01,40.034922496,40.03915998784
COST,1.3108,0.2391,0.2368,1.01,982.5,980.97998046875,0.15,435.04205824,435.71614464
CTRA,0.8654,0.2185,0.3504,0.62,24.02,24.020000457763672,-0.0,18.330621952,18.33062203136
COTY,-0.4323,-0.051,0.4289,-0.12,4.74,4.739999771118164,0.0,4.134654208,4.13465452416
CPNG,-0.1846,0.0922,0.5368,0.17,27.88,27.829999923706055,0.18,50.736037888,46.427449692159996
CUZ,-0.1784,-0.0058,0.2959,-0.02,26.7,26.700000762939453,-0.0,4.485412864,4.4847456
CR,1.7329,0.4816,0.329,1.46,194.05,193.9600067138672,0.05,11.161778176,11.16695654
CXT,0.7724,0.1923,0.3109,0.62,60.23,60.59000015258789,-0.59,3.478968832,3.458298186
CACC,-0.1695,0.0404,0.4178,0.1,461.53,463.1700134277344,-0.35,5.204965888,5.186535681
CRH,1.3238,0.2602,0.3101,0.84,108.76,109.30000305175781,-0.49,73.4783488,73.11532126976002
CROX,-0.4778,0.0049,0.577,0.01,73.35,75.23999786376953,-2.51,4.2190528,4.1130719099999995
CRWD,0.7268,0.2727,0.5194,0.53,426.18,424.489990234375,0.4,105.80328448,106.22451264
CCI,-0.3441,-0.0704,0.2677,-0.26,104.51,104.5,0.01,45.506617344,45.51097137216
CCK,-0.021,0.0393,0.2972,0.13,101.28,101.4800033569336,-0.2,11.809837056,11.78656128
CSX,0.0954,0.0506,0.2356,0.21,35.43,35.43000030517578,-0.0,66.051444736,66.05144266751999
CUBE,-0.0883,0.0114,0.2633,0.04,38.82,38.83000183105469,-0.03,8.901001216,8.852319010559999
CMI,0.7909,0.1821,0.2665,0.68,386.24,387.0299987792969,-0.2,53.327314944,53.21846464
CW,2.9676,0.3825,0.2656,1.44,477.51,472.42999267578125,1.08,17.80026368,17.991669531
CVS,-0.1193,0.0134,0.3003,0.04,65.49,65.54000091552734,-0.08,83.126345728,83.06293065215999
DHI,0.6729,0.1929,0.3571,0.54,156.3,156.5,-0.13,46.656405504,46.5967812
DHR,-0.2666,-0.0383,0.2821,-0.14,200.35,200.55999755859375,-0.1,143.611379712,143.4610117888
DRI,0.6257,0.1593,0.2727,0.58,202.47,202.0,0.23,23.552190464,23.60698965
DAR,-0.6039,-0.1487,0.4109,-0.36,30.69,30.6299991607666,0.2,4.845237248,4.85472834
DDOG,0.0048,0.1591,0.5655,0.28,131.16,130.91000366210938,0.19,45.654208512,41.905355581440006
DVA,-0.0135,0.0644,0.3602,0.18,129.55,129.5,0.04,9.259249664,9.262825
DAY,-0.5228,-0.0969,0.4237,-0.23,51.3,51.16999816894531,0.25,8.171490304,8.1922504896
