Ticker,DCF Market Cap (B),DDM Market Cap (B),Multiples Market Cap (B),Median Market Cap (B),Current Price,Forecast Price (30d),Forecast Change (%),Current Market Cap (B),Forecast Market Cap (B)
AXP,,44.73,,44.73,297.42999267578125,297.67,0.08,206.976172032,207.14319017728
AXS,,4.52,11.8,8.16,96.47000122070312,96.25,-0.23,7.541445632,7.5242475
AXTA,20.53,,6.03,13.280000000000001,28.389999389648438,28.4,0.04,6.148535808,6.1507016
AYI,1.99,0.27,6.35,1.99,307.0799865722656,307.25,0.06,9.410404352,9.4156148
AZEK,5.12,,3.28,4.2,,54.17,,7.818464768,7.79257118
AZO,116.55,,39.31,77.93,4035.159912109375,4029.15,-0.15,67.50298112,67.402441605
AZTA,6.68,,0.72,3.6999999999999997,29.030000686645508,29.11,0.28,1.330726528,1.334393667
BAC,,158.03,,158.03,46.0099983215332,46.13,0.26,340.7937536,341.68259833344
BALL,13.52,6.8,16.59,13.52,54.060001373291016,54.22,0.3,14.712375296,14.75591834624
BKR,78.72,16.59,27.44,27.44,43.290000915527344,43.34,0.12,42.67870208,42.727994819840006
CACC,,,,,463.1700134277344,461.53,-0.35,5.204965888,5.186535681
CAG,200.94,122.36,14.94,122.36,19.25,19.2,-0.26,9.214860288,9.190925107199998
CAR,642.6,,-19.09,311.755,153.7100067138672,154.47,0.49,5.409593344,5.436339945
CARR,184.54,12.79,23.68,23.68,66.02999877929688,66.0,-0.05,56.19304448,56.167516416
CASY,,5.98,11.69,8.835,518.969970703125,519.34,0.07,19.295821824,19.30958054
CAT,222.23,42.61,105.66,105.66,416.5199890136719,416.27,-0.06,195.130867712,195.01375666016
CAVA,1.38,,1.39,1.3849999999999998,85.05000305175781,85.3,0.29,9.836882944,9.865798
CBOE,12.37,19.93,13.87,13.87,252.5800018310547,252.1,-0.19,26.417342464,26.367139
CBRE,38.24,,16.1,27.17,155.39999389648438,155.45,0.03,46.23988736,46.25476681279999
CBSH,,7.31,,7.31,60.459999084472656,60.46,0.0,8.067721728,8.06772194
CC,28.5,0.7,1.87,1.87,12.1899995803833,12.13,-0.49,1.82481856,1.81583674
CCCS,0.46,,1.97,1.215,9.520000457763672,9.55,0.32,6.199947776,6.2194850208000005
CCI,112.93,34.18,10.64,34.18,104.5,104.51,0.01,45.506617344,45.51097137216
CCK,45.14,7.34,18.89,18.89,101.4800033569336,101.28,-0.2,11.809837056,11.78656128
CCL,169.58,,55.28,112.43,28.3700008392334,28.31,-0.21,38.46631424,33.04909218816
CDW,19.75,20.48,23.74,20.48,162.9199981689453,163.39,0.29,21.35245824,21.41405679
CE,86.45,0.25,3.03,3.03,48.04999923706055,47.98,-0.15,5.25700608,5.24934786
CEG,96.8,7.46,50.86,50.86,335.7650146484375,334.52,-0.37,104.895012864,104.50606047231999
CELH,1.25,,2.56,1.905,51.95000076293945,53.11,2.23,13.39109888,13.69011116512
CERT,1.98,,1.25,1.615,10.9399995803833,11.01,0.64,1.757226496,1.76847024
CF,59.55,7.28,22.72,22.72,80.91000366210938,81.68,0.95,13.105234944,13.229953986560002
CFLT,,,-4.7,-4.7,16.329999923706055,16.39,0.37,5.629669376,4.78474922112
CG,,6.39,,6.39,62.22999954223633,62.26,0.05,22.340569088,22.35134
CHE,13.72,2.61,5.88,5.88,435.3299865722656,434.09,-0.28,6.343497728,6.325429253
CHH,0.95,1.98,4.32,1.98,120.75,121.25,0.41,5.586909184,5.6100435
CHTR,1156.66,,185.95,671.3050000000001,256.57000732421875,256.65,0.03,35.045154816,35.0560822032
CL,183.42,92.29,46.68,92.29,84.69000244140625,84.62,-0.08,68.448239616,68.39166034304
CMA,,10.01,,10.01,66.86000061035156,66.88,0.03,8.593181696,8.595752
CMCSA,1323.37,140.79,393.54,393.54,31.670000076293945,31.76,0.28,116.932288512,116.96445556736
CMG,,,24.79,24.79,41.439998626708984,41.52,0.19,55.566065664,55.67333760000001
CMI,57.58,22.77,47.04,47.04,387.0299987792969,386.24,-0.2,53.327314944,53.21846464
CNC,334.52,,61.58,198.04999999999998,25.59000015258789,25.59,-0.0,12.568093696,12.56809326528
CNM,10.09,,6.73,8.41,63.959999084472656,64.04,0.13,12.608243712,12.145442160000002
CNP,190.5,15.0,8.85,15.0,38.83000183105469,38.83,-0.0,25.350750208,25.350748881919998
CNXC,42.85,,15.41,29.130000000000003,47.09000015258789,47.11,0.04,2.967852032,2.969112461
COIN,,,22.64,22.64,310.5400085449219,311.07,0.17,79.789531136,66.92951261856
COLB,,12.54,,12.54,24.06999969482422,24.07,0.0,5.064047616,5.06194487744
COLD,24.27,5.24,1.5,5.24,14.529999732971191,14.48,-0.34,4.151700224,4.12387527168
COLM,,2.37,4.03,3.2,50.70000076293945,50.75,0.1,2.797053184,2.799811525
COO,18.71,,12.47,15.59,70.29000091552734,70.42,0.18,14.023768064,14.04970489664
COOP,58.29,,7.49,32.89,177.36000061035156,176.8,-0.32,11.349531648,11.31401544
COP,598.33,90.2,145.25,145.25,93.91000366210938,93.92,0.01,117.287960576,117.30044780544
COR,101.61,22.63,52.85,52.85,285.1300048828125,285.48,0.12,55.2804352,55.34829144
COST,301.24,50.28,145.84,145.84,980.97998046875,982.5,0.15,435.04205824,435.71614464
COTY,16.13,,7.26,11.695,4.739999771118164,4.74,0.0,4.134654208,4.13465452416
CPAY,49.46,,26.42,37.94,301.70001220703125,302.56,0.29,21.304365056,21.365092864
CPNG,15.09,,17.57,16.33,27.829999923706055,27.88,0.18,50.736037888,46.427449692159996
CPRT,12.57,,23.51,18.04,46.189998626708984,46.2,0.02,44.657942528,44.6724432
CR,1.63,0.82,4.55,1.63,193.9600067138672,194.05,0.05,11.161778176,11.16695654
CRH,181.68,17.43,46.8,46.8,109.30000305175781,108.76,-0.49,73.4783488,73.11532126976002
CRI,8.9,1.31,2.53,2.53,25.360000610351562,25.26,-0.39,0.92392064,0.920277372
CRL,12.45,,10.1,11.274999999999999,148.74000549316406,150.78,1.37,7.32012032,7.420517076
CROX,19.98,,11.37,15.675,75.23999786376953,73.35,-2.51,4.2190528,4.1130719099999995
CRWD,-0.82,,3.64,1.4100000000000001,424.489990234375,426.18,0.4,105.80328448,106.22451264
CSGP,,,4.67,4.67,94.5,94.51,0.01,40.034922496,40.03915998784
CSX,138.82,16.3,47.67,47.67,35.43000030517578,35.43,-0.0,66.051444736,66.05144266751999
CTRA,94.55,25.92,22.56,25.92,24.020000457763672,24.02,-0.0,18.330621952,18.33062203136
CTVA,85.93,13.45,29.57,29.57,70.91000366210938,70.86,-0.07,48.154984448,48.121028267519996
CUBE,,8.44,3.79,6.115,38.83000183105469,38.82,-0.03,8.901001216,8.852319010559999
CUZ,15.02,2.92,2.82,2.92,26.700000762939453,26.7,-0.0,4.485412864,4.4847456
CVNA,-2.05,,17.62,7.785,347.55999755859375,347.82,0.07,40.646098944,40.67650554
CVS,800.15,175.16,117.29,175.16,65.54000091552734,65.49,-0.08,83.126345728,83.06293065215999
CVX,980.07,271.06,212.59,271.06,155.00999450683594,155.19,0.12,312.317247488,312.67991083391996
CW,11.15,0.64,6.75,6.75,472.42999267578125,477.51,1.08,17.80026368,17.991669531
CXT,9.53,0.69,2.67,2.67,60.59000015258789,60.23,-0.59,3.478968832,3.458298186
DAL,231.56,6.63,58.93,58.93,53.63999938964844,53.72,0.15,35.024130048,35.07636484096
