Ticker,Beta,Cost of Equity,Cost of Debt,WACC,Growth_Rate,Last_Projected_FCFF,DCF Value (B)
HUM,0.448,0.0635,0.0206,0.0515,,,
HUN,0.713,0.0762,0.0272,0.0496,0.0,1128000000.0,36.69
HWM,1.482,0.1131,0.0471,0.1094,0.05,1951519704.98,20.84
IAC,1.282,0.1035,0.013,0.0645,0.0,24902783.42,0.54
IBKR,1.223,0.1007,6.5541,0.1023,0.0,1039847631.94,12.2
IBM,0.677,0.0745,0.0165,0.0631,0.023,14851915348.44,331.09
ICE,1.12,0.0958,0.0236,0.0873,0.0,6502276185.23,93.2
IDA,0.551,0.0684,0.0342,0.0606,0.03,1782623484.86,42.16
IDXX,1.496,0.1138,0.0228,0.1121,0.08,1732426280.54,17.84
IEX,1.031,0.0915,0.0249,0.0849,0.0,765554997.65,11.38
IFF,1.055,0.0926,0.0187,0.061,0.0,1111438848.92,26.12
ILMN,1.372,0.1079,0.019,0.095,0.08,1161454464.0,14.72
INCY,0.716,0.0764,0.0336,0.0763,0.08,2529104832.58,42.81
INFA,1.148,0.0971,0.0541,0.0883,0.0,-28296082.33,-0.4
INGM,,,0.0479,,0.0,1164942223.2,
INGR,0.709,0.076,0.026,0.0652,0.0,777495166.49,16.58
INSP,1.22,0.1006,0.0493,0.0999,0.0,52033071.92,0.63
INTC,1.218,0.1005,0.0124,0.0737,0.0,34173000000.0,613.47
INTU,1.287,0.1038,0.0092,0.1027,0.0,3854929859.15,45.0
INVH,0.779,0.0794,0.0319,0.065,0.04,2932108061.61,62.48
IONS,0.247,0.0539,0.0028,0.0458,0.08,-647003550.41,-24.01
IP,0.994,0.0897,0.0584,0.0838,0.0,3185000000.0,48.15
IPG,1.041,0.092,0.0281,0.07,0.0,1147274406.63,22.12
IPGP,0.88,0.0842,,,0.09,839516794.57,
IQV,1.3,0.1044,0.0238,0.0811,0.0638,4585408605.47,71.65
IR,1.413,0.1098,0.0199,0.1005,0.0137,1694643526.07,20.26
IRDM,0.764,0.0787,0.0365,0.0624,0.0,467039176.05,10.61
IRM,1.094,0.0945,0.0287,0.0744,0.04,5159564449.65,90.9
ISRG,1.599,0.1188,,,0.08,5656440248.09,
ITT,1.385,0.1085,0.0295,0.1068,0.05,1222650455.1,13.45
ITW,1.108,0.0952,0.0202,0.0881,0.0,4214372229.76,59.7
IVZ,1.512,0.1146,0.0077,0.0598,0.0,721371351.84,17.46
J,0.777,0.0793,0.015,0.0679,0.05,1686778886.9,33.72
JAZZ,0.339,0.0583,0.0358,0.0476,0.0,-256952000.0,-8.96
JBHT,1.284,0.1036,0.0281,0.097,0.0,2667048673.18,33.43
JBL,1.2,0.0996,0.0295,0.0911,0.09,4720504217.19,63.05
JCI,1.311,0.1049,0.021,0.0964,0.05,4605958654.24,57.61
JEF,1.445,0.1114,0.0644,0.0885,0.0,-1657443271.95,-23.34
JHG,1.436,0.1109,0.0228,0.1054,0.06,506079320.85,5.65
JHX,0.889,0.0847,0.0325,0.0818,0.0,942680043.38,14.71
JLL,1.382,0.1083,,,0.04,1389846091.26,
JNJ,0.399,0.0612,0.0043,0.0569,0.0,33857092527.12,883.75
JPM,1.107,0.0951,0.0124,0.0696,,,
K,0.28,0.0554,0.021,0.0479,0.0,1699748488.51,58.65
KBR,0.764,0.0787,0.0298,0.0666,0.0,629587084.15,13.02
KD,1.991,0.1376,0.011,0.0878,0.0,1809510344.83,25.75
KDP,0.465,0.0643,0.0298,0.0567,0.0,2395258620.69,62.86
KEX,1.013,0.0906,0.0247,0.0777,0.05,1235134687.54,20.48
KEY,1.112,0.0954,0.0185,0.065,,,
KEYS,1.116,0.0956,0.0309,0.0913,0.0,945285549.13,12.79
KHC,0.2,0.0516,0.0741,0.0606,0.06,8282325264.0,195.25
KIM,1.325,0.1056,0.0212,0.076,,,
KKR,1.875,0.132,0.0228,0.107,,,
KLAC,1.432,0.1107,0.0351,0.1085,0.0,3085670792.88,33.67
KMB,0.341,0.0584,0.0232,0.0527,0.0459,4997350260.15,146.56
KMI,0.784,0.0796,,,,,
KMPR,1.258,0.1024,0.0307,0.0836,,,
KMX,1.358,0.1072,0.0132,0.0414,0.0,632472313.37,28.44
KNSL,1.121,0.0958,0.0184,0.0955,,,
KNX,1.179,0.0986,0.0075,0.0757,0.04,2202350073.19,37.89
KR,0.58,0.0698,0.0221,0.0558,0.0,8500357271.1,228.68
KRC,1.236,0.1013,0.0148,0.0596,0.04,1798969010.84,43.57
KRMN,,,0.0734,,,,
KSS,1.754,0.1262,0.0303,0.0452,0.0,2236675438.6,85.43
KVUE,0.785,0.0797,0.0,0.0794,0.06,4579523856.59,73.66
LAMR,,,0.0199,,0.0,1120243493.77,
LAZ,1.324,0.1056,0.0285,0.0814,0.0,-68052289.34,-1.07
LDOS,0.661,0.0737,0.0257,0.0641,0.0,2065335570.47,45.13
LEA,1.313,0.105,0.0266,0.0777,0.05,2394237685.45,39.71
LEG,0.721,0.0766,0.0264,0.0433,0.07,257994055.8,10.61
LEN,1.312,0.105,0.0028,0.0876,0.07,5199079040.78,73.3
LH,0.757,0.0783,0.0264,0.0667,0.0,1083386294.95,22.36
LHX,0.771,0.079,0.0267,0.072,0.0,3129452097.68,58.01
LITE,1.336,0.1061,0.0425,0.0976,0.0,889200000.0,11.06
LNG,0.426,0.0624,0.0356,0.052,0.04,12071850177.77,361.97
LNT,0.532,0.0675,0.0285,0.0551,0.03,3694509987.0,101.07
LRCX,1.661,0.1217,0.033,0.1184,0.0,5014270894.73,49.23
LSCC,1.513,0.1146,0.016,0.1125,0.0,133263000.0,1.39
LSTR,0.862,0.0834,0.0137,0.08,0.0,298900524.53,4.8
LULU,1.167,0.098,,,0.07,3907200631.99,
LUV,1.251,0.102,0.0277,0.0692,0.0,6687607023.41,131.01
LVS,1.07,0.0934,0.0332,0.0759,0.07,9822764786.99,167.71
LW,0.482,0.0651,0.0462,0.0599,0.009,1534938406.21,37.02
LYB,0.867,0.0836,0.0302,0.0589,0.0,6153876481.6,152.39
LYFT,2.27,0.151,0.0418,0.1344,0.0,671553615.07,5.68
M,1.806,0.1287,0.03,0.062,0.0,2078960681.52,47.69
MMM,1.104,0.095,0.0211,0.0815,0.0,3015499481.22,47.29
MO,0.623,0.0719,0.0335,0.064,0.06,10187321608.51,221.53
MORN,0.961,0.0881,0.0129,0.0846,0.0,552923671.89,8.26
MOS,1.127,0.0961,0.0348,0.0775,,,
MP,2.302,0.1525,0.0102,0.1454,,,
MS,1.32,0.1054,0.0044,0.0533,,,
MSA,0.953,0.0877,0.0133,0.0813,0.05,417245250.94,6.51
MSCI,1.291,0.104,0.0292,0.0971,0.0475,1970453825.05,24.43
MSI,0.977,0.0889,0.0277,0.0843,0.0,1315199797.16,19.73
MSM,0.866,0.0836,0.0137,0.0732,0.05,659932646.73,11.87
MTB,0.621,0.0718,0.0258,0.0669,,,
MTN,0.901,0.0852,0.0389,0.0686,0.07,1414164147.27,27.8
MTSI,1.375,0.108,0.033,0.1038,0.0,34324056.9,0.4
MUSA,0.424,0.0624,0.029,0.0545,0.0241,1548892766.6,43.14
NBIX,0.254,0.0542,0.0463,0.0539,0.08,264438172.81,7.46
NCLH,2.25,0.15,0.1316,0.1402,0.07,4527241959.85,35.69
NCNO,0.773,0.0791,0.0245,0.0782,0.0,6312285.18,0.1
NDAQ,1.008,0.0904,0.0146,0.0828,0.06,2985577097.62,45.4
NDSN,0.894,0.0849,0.0212,0.0802,0.05,739936035.45,11.76
NEE,0.616,0.0716,0.0183,0.0573,0.0,21803792446.58,563.04
NEM,0.318,0.0573,0.0343,0.0555,0.0,6866139392.62,186.28
NEU,0.468,0.0645,0.0219,0.0581,0.05,766014053.58,19.27
NFE,1.056,0.0927,0.0278,0.0377,0.04,3149310987.26,170.85
NFG,0.659,0.0736,0.0415,0.0653,,,
NFLX,1.589,0.1183,0.0393,0.116,0.08,30093491883.44,297.19
NI,0.535,0.0677,0.0271,0.0541,0.03,6761039650.46,190.39
NKE,1.276,0.1032,,,0.0,6298371428.57,
NLY,1.263,0.1026,0.0277,0.0764,,,
NNN,0.926,0.0864,0.0291,0.068,,,
NOC,0.145,0.049,0.0306,0.0463,0.05,9714140028.41,354.27
NOV,1.325,0.1056,0.0255,0.0775,0.04,1513376594.25,25.22
NRG,1.138,0.0966,0.0462,0.0855,0.03,3726158319.13,54.59
