ticker,forecast_id,forecast_price_30d,forecast_market_cap_b,forecast_change_%
RCL,225,299.63,81.38789764,-0.6
REGN,226,564.11,58.7633387,0.2
REXR,227,36.73,8.69296256,0.03
REYN,228,22.78,4.79120331776,-0.31
RL,229,287.68,11.13120224,-0.2
RMD,230,283.68,41.59514962944,-0.08
ROK,231,332.98,37.43827332,-0.08
ROL,232,58.58,28.3902112,-0.1
ROP,233,535.54,57.63160155999999,0.22
ROST,234,144.92,47.39913047935999,-0.21
RPM,235,119.59,15.35248584,-0.05
RRX,236,138.31,9.180215602,-0.5
RS,237,285.04,14.991251240000002,0.0
RSG,238,234.92,73.34578272,-0.12
RTX,239,155.09,207.59417356288,0.15
RVTY,240,86.93,10.09022589,0.1
SBUX,241,91.95,104.51956794240002,-0.18
SGI,242,74.87,15.61675835104,-0.11
SJM,243,110.64,11.80351776,-0.07
SNA,244,321.57,16.774184538,-0.07
SNX,245,147.08,12.129261656320002,0.35
SO,246,94.7,104.1747395456,0.01
SPB,247,56.38,1.36479066,0.09
SPGI,248,557.46,170.192538,0.11
SSNC,249,86.79,21.19593989568,-0.01
STAG,250,34.63,6.46531683296,-0.0
STLD,251,123.04,18.26578016,0.02
STZ,252,170.75,30.0974195,0.09
SWK,253,69.17,10.70696264,-0.22
SWKS,254,70.81,10.51018668,-0.38
SYY,255,80.67,38.51960232,0.02
T,256,28.07,200.7114405632,-0.04
TER,257,107.58,17.11318092,0.1
TFX,258,118.25,5.2257986,-0.14
TGT,259,105.06,47.73569364096,-0.32
TMO,260,460.71,173.96962452,-0.0
TMUS,261,244.58,275.25523142656,-0.16
TPR,262,109.36,22.7129784,0.25
TRGP,263,165.16,35.54111072,0.04
TTEK,264,36.91,9.69895113472,0.11
TXN,265,187.04,170.04498896895998,-0.1
TXRH,266,175.02,11.611124334,1.26
TXT,267,77.08,13.73604078336,0.08
UDR,268,38.06,12.611067124480002,-0.08
UGI,269,35.15,7.5545786,0.11
UHS,270,172.81,9.882952057,0.3
UI,271,467.48,28.278426176,-0.37
UNH,272,250.81,227.51977537408,-0.03
UNP,273,222.3,131.832792,0.03
UPS,274,86.55,63.7045223424,-0.14
URI,275,859.02,55.270377624,0.01
V,276,336.65,571.8606435455999,-0.04
VFC,277,11.86,4.6327175251199995,0.25
VICI,278,32.96,35.14755467264,0.18
VLO,279,133.4,41.4409768,0.08
VMC,280,286.34,37.83238616,-0.06
VMI,281,368.08,7.26534708,-0.03
VNT,282,40.56,5.950152,0.02
VRSK,283,265.02,37.02727142016,-0.01
VRSN,284,271.96,25.403402855999996,0.03
VRT,285,139.92,53.43083175935999,-0.01
VST,286,203.38,69.01334216,0.62
VTR,287,68.54,31.149442888320003,-0.04
VTRS,288,9.73,11.34391463296,0.31
VZ,289,43.12,181.8077184,-0.07
WAB,290,191.21,32.68792160032,-0.11
WBA,291,11.94,10.33479862656,0.0
