ticker,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,forecast_price_30d,current_price,forecast_change_%,current_market_cap_B,forecast_market_cap_B
HUN,-0.5728,-0.1526,0.351,-0.43,9.45,9.460000038146973,-0.11,1.643693952,1.6419563999999998
H,0.8932,0.2199,0.3444,0.64,135.89,135.86000061035156,0.02,12.972592128,5.699729392999999
IBM,1.0904,0.2131,0.2344,0.91,242.06,242.27000427246097,-0.09,225.67911424,225.48348333056
IDA,0.3238,0.0902,0.1978,0.46,124.56,124.58000183105467,-0.02,6.731418624,6.730338024
IEX,-0.2656,-0.0479,0.2432,-0.2,158.28,158.25999450683594,0.01,11.91496704,11.91647321088
ITW,0.2127,0.0713,0.2134,0.33,256.9,256.989990234375,-0.04,74.912579584,74.88635
IR,0.4659,0.1406,0.2969,0.47,75.98,75.88999938964844,0.12,30.162706432,30.19847833216
INGR,0.6165,0.1454,0.222,0.65,126.24,126.23999786376952,0.0,8.118620672,8.11862064
ICE,0.6644,0.1502,0.209,0.72,186.25,186.3999938964844,-0.08,106.699636736,106.61377928
IFF,-0.5453,-0.1471,0.3154,-0.47,63.23,63.560001373291016,-0.52,16.28960256,16.205027515839998
IP,-0.0013,0.0471,0.3083,0.15,47.58,47.54999923706055,0.06,25.105545216,25.121384321279997
IPG,-0.2256,-0.0221,0.2896,-0.08,24.85,24.90999984741211,-0.24,9.123685376,9.1017097024
INTU,0.4308,0.1537,0.3568,0.43,750.97,749.0,0.26,208.93130752,209.48083459776
IVZ,-0.0217,0.0645,0.3755,0.17,20.71,20.719999313354492,-0.05,9.240374272,9.23591444
INVH,-0.1407,-0.0099,0.238,-0.04,29.96,29.950000762939453,0.03,18.359590912,18.36571968
IRDM,-0.4148,-0.0496,0.4113,-0.12,23.84,23.809999465942383,0.13,2.526574336,2.52975776
IRM,1.276,0.25,0.2924,0.85,89.64,90.16000366210938,-0.58,26.62857728,26.47499472
ITT,0.7494,0.1831,0.291,0.63,165.81,165.6699981689453,0.08,12.922259456,12.93318
JBL,2.7713,0.4029,0.3709,1.09,225.0,224.33999633789065,0.29,24.075943936,24.146775
J,0.2978,0.0953,0.2434,0.39,147.76,148.16000366210938,-0.27,17.710454784,17.66263936
JHG,0.199,0.1008,0.3321,0.3,42.69,42.68000030517578,0.02,6.657184256,6.65874385152
JBHT,-0.1636,0.0014,0.3041,0.0,139.68,139.44000244140625,0.17,13.497694208,13.52092566528
JNJ,0.111,0.0413,0.1725,0.24,173.12,173.3300018310547,-0.12,417.437581312,416.93181526016
JCI,0.5776,0.1561,0.2872,0.54,105.59,105.5500030517578,0.04,69.070340096,69.09651468416
KBR,0.3187,0.1095,0.2811,0.39,49.85,49.880001068115234,-0.06,6.426638848,6.4227737
K,0.5191,0.1245,0.1979,0.63,80.08,80.06999969482422,0.01,27.837855744,27.84133287936
KVUE,-0.1435,-0.0344,0.2642,-0.13,21.37,21.34000015258789,0.14,40.95295488,41.010524874240005
KDP,0.1035,0.0433,0.192,0.23,34.28,34.41999816894531,-0.41,46.75749888,46.56732100608
KRC,-0.2944,-0.0252,0.3542,-0.07,37.7,37.810001373291016,-0.29,4.516215808,4.4596838
KMB,0.1705,0.0574,0.1885,0.3,135.94,136.16000366210938,-0.16,45.175164928,45.1021732
KLAC,1.9107,0.3578,0.4212,0.85,913.05,914.7999877929688,-0.19,120.974065664,120.74264505
KNX,-0.1381,0.0131,0.3188,0.04,41.24,41.11000061035156,0.32,6.67223552,6.69333448
KSS,-0.736,-0.1103,0.6752,-0.16,11.13,11.119999885559082,0.09,1.245907072,1.24702746
KHC,-0.108,-0.0047,0.2187,-0.02,27.71,27.760000228881836,-0.18,32.856735744,32.797556
KR,0.888,0.1962,0.2703,0.73,74.07,74.23999786376953,-0.23,49.084219392,48.97182254975999
LHX,0.2702,0.0885,0.2383,0.37,269.86,269.7200012207031,0.05,50.463264768,50.489458858880006
LH,0.0723,0.046,0.2384,0.19,265.2,265.8500061035156,-0.24,22.092136448,22.03812
LRCX,0.8268,0.2516,0.4474,0.56,101.43,101.75,-0.31,129.094295552,128.68829495424
LW,-0.1599,0.0265,0.366,0.07,51.8,51.54999923706055,0.48,7.183750656,7.218589414399999
LSTR,-0.1507,-0.0076,0.2588,-0.03,127.57,127.08000183105467,0.39,4.403766784,4.420746995
LVS,0.3458,0.1621,0.4193,0.39,52.62,52.630001068115234,-0.02,36.128075776,36.12121032192
LEA,-0.3746,-0.0582,0.3454,-0.17,95.85,95.88999938964844,-0.04,5.101933056,5.099804685
LEG,-0.7924,-0.3082,0.4172,-0.74,8.59,8.600000381469727,-0.12,1.164018688,1.16266515872
LDOS,0.9428,0.2006,0.257,0.78,176.78,176.5,0.16,22.644420608,22.68034366
LEN,0.2342,0.1115,0.3422,0.33,120.62,120.8499984741211,-0.19,31.143890944,27.45335324
LYB,-0.3882,-0.0793,0.2975,-0.27,49.3,49.060001373291016,0.49,15.780050944,15.8572464
M,-0.269,0.0732,0.5572,0.13,12.08,12.079999923706056,0.0,3.280203264,3.2802032
MORN,0.0153,0.048,0.2973,0.16,259.23,258.9200134277344,0.12,10.920650752,10.933725171
MSI,1.0632,0.2086,0.2292,0.91,452.99,453.4100036621094,-0.09,75.539922944,75.46994596
MSA,0.1371,0.0633,0.2496,0.25,174.27,174.17999267578125,0.05,6.817962496,6.821485464
MSM,0.1571,0.0664,0.2436,0.27,86.04,86.0999984741211,-0.07,4.793686528,4.790345832
MSCI,-0.09,0.0266,0.3165,0.08,548.07,546.6799926757812,0.25,42.29400576,42.401545164000005
MUSA,1.542,0.2765,0.2878,0.96,376.64,377.8999938964844,-0.33,7.290597888,7.266289536
NDAQ,0.6159,0.1497,0.2396,0.62,96.87,96.8499984741211,0.02,55.572045824,55.58352242496
NSA,-0.3374,-0.0602,0.2948,-0.2,29.73,29.760000228881836,-0.1,4.378023424,2.28222345
NTAP,0.4082,0.1376,0.3217,0.43,106.28,106.20999908447266,0.07,21.25251584,21.266522570240003
NFE,-0.894,-0.1919,0.817,-0.23,2.73,2.7200000286102295,0.37,0.745818624,0.74856058368
NYT,0.2384,0.1002,0.3047,0.33,57.51,57.4900016784668,0.03,9.360464896,9.31880538
NWL,-0.7732,-0.2298,0.5408,-0.42,4.87,4.880000114440918,-0.2,2.045208064,2.041017
NEU,1.3651,0.2479,0.2494,0.99,735.49,738.1699829101562,-0.36,6.936302592,6.9111200438
NEM,0.3523,0.1402,0.3577,0.39,68.74,68.9800033569336,-0.35,75.7710848,75.50745629951999
NWSA,0.2353,0.0918,0.2774,0.33,28.59,28.520000457763672,0.25,16.946071552,10.76150472
NWS,0.4737,0.1376,0.2822,0.49,32.99,32.95000076293945,0.12,16.94605312,6.21901088
NXST,0.4305,0.1503,0.3466,0.43,186.74,186.8000030517578,-0.03,5.662841856,5.6610231
NEE,-0.033,0.0311,0.2806,0.11,72.43,72.41000366210938,0.03,149.113192448,149.15437354112004
NI,0.9155,0.1849,0.2057,0.9,42.32,42.279998779296875,0.09,19.907749888,19.92658393856
NDSN,-0.0257,0.0268,0.2572,0.1,211.16,211.0399932861328,0.06,11.925638144,11.932419324
NSC,0.136,0.0656,0.2596,0.25,280.0,280.0299987792969,-0.01,62.825848832,62.81912
NOC,0.7049,0.1671,0.2557,0.65,581.77,581.1099853515625,0.11,83.20507904,83.29957856416
NOV,-0.0596,0.0762,0.4288,0.18,11.92,11.899999618530272,0.17,4.419243008,4.42667070464
NRG,2.9905,0.4254,0.3934,1.08,151.86,152.5399932861328,-0.45,29.505964032,29.37443287488
NUE,0.1795,0.1172,0.3892,0.3,139.02,138.97999572753906,0.03,32.069773312,32.079005132160006
NVT,1.7909,0.3203,0.3514,0.91,88.83,88.68000030517578,0.17,14.272780288,14.29692272064
NVDA,8.1981,0.7094,0.5514,1.29,182.17,182.6999969482422,-0.29,4456.467922944,4442.689161953279
OGE,0.5011,0.1209,0.1927,0.63,45.36,45.369998931884766,-0.02,9.137291264,9.13527756288
ODFL,0.0545,0.0798,0.3642,0.22,144.46,144.4600067138672,-0.0,30.360870912,30.36086928
OLN,-0.5799,-0.1281,0.4254,-0.3,18.92,18.920000076293945,-0.0,2.16902656,2.16902664
OMC,0.1005,0.0618,0.2744,0.23,72.79,72.94000244140625,-0.21,14.130156544,14.10109775232
OKE,0.734,0.1799,0.2861,0.63,74.46,74.45999908447266,0.0,46.891634688,46.891634142719994
ORCL,1.9448,0.3322,0.3481,0.95,250.39,250.0500030517578,0.14,702.347935744,703.3029316812799
OGN,-0.6653,-0.1874,0.4138,-0.45,9.24,9.220000267028809,0.22,2.396886528,2.40208584
OC,0.5745,0.1732,0.343,0.5,143.94,143.8800048828125,0.04,12.032339968,12.037356744
PKG,0.5272,0.1383,0.2517,0.55,196.54,196.42999267578125,0.06,17.674534912,17.684433352
PK,-0.2646,-0.0041,0.3834,-0.01,10.19,10.170000076293944,0.2,2.033125376,2.03712366
PH,1.6117,0.285,0.2947,0.97,727.29,727.739990234375,-0.06,92.989161472,92.93166162
PAYX,0.3555,0.1044,0.2354,0.44,141.03,141.19000244140625,-0.11,50.862850048,50.80521132
PAYC,-0.5057,-0.0657,0.4582,-0.14,229.82,229.8500061035156,-0.01,12.930579456,12.928891812
PEGA,-0.1818,0.0854,0.5289,0.16,51.24,51.220001220703125,0.04,8.762768384,8.76619003008
PAG,1.1103,0.2437,0.3331,0.73,174.32,174.8300018310547,-0.29,11.54654208,11.512859808
PNR,0.3665,0.1205,0.2904,0.41,102.73,102.72000122070312,0.01,16.838992896,16.84063245184
PEP,0.0553,0.0301,0.1822,0.17,144.81,145.2100067138672,-0.28,198.804127744,198.25648406784
PRGO,-0.3752,-0.0632,0.3319,-0.19,22.63,22.549999237060547,0.35,3.102496768,3.11350347104
PSA,0.069,0.0466,0.244,0.19,281.72,281.739990234375,-0.01,49.43212544,49.42861690624
PEG,0.5705,0.1355,0.2088,0.65,87.75,87.68000030517578,0.08,43.759333376,43.79427
PHM,1.3241,0.2746,0.3536,0.78,121.52,121.63999938964844,-0.1,23.999328256,23.97565296
PVH,-0.3576,0.0046,0.4801,0.01,73.12,72.9000015258789,0.3,3.504529152,3.515105072
QGEN,-0.0564,0.0134,0.237,0.06,48.12,48.040000915527344,0.17,10.416705536,10.43405208
QCOM,0.094,0.0997,0.3928,0.25,147.4,147.55999755859375,-0.11,159.2172544,159.04460943360002
PWR,2.9537,0.4087,0.353,1.16,386.79,386.1499938964844,0.17,57.538666496,57.63403074
DGX,0.2944,0.0891,0.2201,0.4,176.56,176.9600067138672,-0.23,19.788197888,19.74346888
RL,1.5391,0.3052,0.3755,0.81,287.68,288.260009765625,-0.2,17.461147648,11.13120224
RBA,1.0274,0.2238,0.3016,0.74,113.83,114.11000061035156,-0.25,21.222520832,21.12673508064
RRX,-0.015,0.0704,0.3842,0.18,138.31,139.0,-0.5,9.226013696,9.180215602
REGN,-0.0715,0.0279,0.3041,0.09,564.11,563.0,0.2,59.670679552,58.7633387
RS,0.9151,0.2052,0.2887,0.71,285.04,285.0299987792969,0.0,14.99072512,14.991251240000002
RSG,1.062,0.199,0.1831,1.09,234.92,235.2100067138672,-0.12,73.43632384,73.34578272
RMD,0.0676,0.0697,0.3256,0.21,283.68,283.8999938964844,-0.08,41.627406336,41.59514962944
