ticker,dcf_market_cap_B,ddm_market_cap_B,multiples_market_cap_B,median_market_cap_B,current_price,forecast_price_30d,forecast_change_%,current_market_cap_B,forecast_market_cap_B,sector,buy?
CRI,8.9,1.31,2.53,2.53,25.36000061035156,25.26,-0.39,0.92392064,0.920277372,Consumer Cyclical,Yes
CSX,138.82,16.3,47.67,47.67,35.43000030517578,35.43,-0.0,66.051444736,66.05144266751999,Industrials,No
CTRA,94.55,25.92,22.56,25.92,24.020000457763672,24.02,-0.0,18.330621952,18.33062203136,Energy,Yes
CTVA,85.93,13.45,29.57,29.57,70.91000366210938,70.86,-0.07,48.154984448,48.12102826752,Basic Materials,No
CUZ,15.02,2.92,2.82,2.92,26.700000762939453,26.7,-0.0,4.485412864,4.4847456,Real Estate,No
CVS,800.15,175.16,117.29,175.16,65.54000091552734,65.49,-0.08,83.126345728,83.06293065215999,Healthcare,Yes
CVX,980.07,271.06,212.59,271.06,155.00999450683594,155.19,0.12,312.317247488,312.67991083391996,Energy,No
CW,11.15,0.64,6.75,6.75,472.4299926757813,477.51,1.08,17.80026368,17.991669531,Industrials,No
CXT,9.53,0.69,2.67,2.67,60.59000015258789,60.23,-0.59,3.478968832,3.458298186,Industrials,No
DAL,231.56,6.63,58.93,58.93,53.63999938964844,53.72,0.15,35.024130048,35.07636484096,Industrials,Yes
DE,216.89,34.3,33.74,34.3,510.3699951171875,510.14,-0.05,138.2219776,138.15968986112,Industrials,No
DELL,181.43,31.17,124.65,124.65,137.61000061035156,137.25,-0.26,93.07693056,46.757368152,Technology,Yes
DGX,63.1,26.78,21.31,26.78,176.9600067138672,176.56,-0.23,19.788197888,19.74346888,Healthcare,Yes
DHR,266.83,33.73,84.43,84.43,200.55999755859375,200.35,-0.1,143.611379712,143.4610117888,Healthcare,No
DIS,483.93,28.13,210.64,210.64,112.43000030517578,112.05,-0.34,202.141270016,201.4580547072,Communication Services,Yes
DKS,44.71,8.41,19.46,19.46,211.2400054931641,211.05,-0.09,16.918823936,11.929031415,Consumer Cyclical,Yes
DRI,53.63,41.64,15.34,41.64,202.0,202.47,0.23,23.552190464,23.60698965,Consumer Cyclical,Yes
EA,67.13,7.56,22.81,22.81,167.63999938964844,167.26,-0.23,41.941200896,41.84962415808,Communication Services,No
ECL,70.35,14.39,26.79,26.79,272.8699951171875,272.59,-0.1,77.392748544,77.31333656928,Basic Materials,No
ED,413.29,55.16,25.26,55.16,104.4800033569336,104.46,-0.02,37.680922624,37.67370792,Utilities,Yes
EFX,22.72,3.17,13.67,13.67,239.80999755859375,239.89,0.03,29.543872512,29.55372833,Industrials,No
EHC,44.21,2.94,14.48,14.48,117.58000183105467,117.15,-0.37,11.84312832,11.7998166,Healthcare,Yes
EIX,432.38,27.14,17.76,27.14,53.77000045776367,53.67,-0.19,20.692523008,20.65403992128,Utilities,Yes
EL,50.41,5.83,17.34,17.34,90.69000244140624,90.69,-0.0,32.62590976,21.2405049,Consumer Defensive,No
ELS,22.23,8.93,4.29,8.93,60.150001525878906,60.32,0.28,12.204073984,11.6894128,Real Estate,No
EME,12.04,0.74,16.52,12.04,618.219970703125,618.81,0.1,27.67412224,27.700534602,Industrials,No
EMR,106.78,19.02,36.77,36.77,132.74000549316406,132.77,0.02,74.706075648,74.722956,Industrials,No
ENTG,23.97,2.12,9.82,9.82,73.13999938964844,73.09,-0.07,11.073395712,11.065826,Technology,No
EQIX,95.32,34.62,20.3,34.62,776.2000122070312,776.13,-0.01,75.96204032,75.95518632,Real Estate,No
EQR,48.62,19.16,10.31,19.16,63.20000076293945,63.19,-0.02,24.873117696,24.13213360896,Real Estate,No
EQT,112.97,10.01,21.65,21.65,51.290000915527344,51.27,-0.04,32.0078848,31.995403620480005,Energy,No
ESAB,3.93,0.41,4.38,3.93,111.12999725341795,113.37,2.02,6.7454464,6.881411619,Industrials,No
ESI,8.07,1.29,3.23,3.23,23.899999618530273,23.9,0.0,5.774646272,5.774646108799999,Basic Materials,No
ESS,37.95,13.4,5.52,13.4,254.58999633789065,254.44,-0.06,17.58414848,16.38695376,Real Estate,No
ETR,310.06,28.74,21.44,28.74,90.47000122070312,90.46,-0.01,40.38662144,40.38215741632,Utilities,No
FANG,353.77,18.41,48.35,48.35,142.02999877929688,142.01,-0.01,41.115697152,41.10990913216,Energy,Yes
FIX,9.96,1.0,10.9,9.96,691.760009765625,692.08,0.05,24.406331392,24.41762052,Industrials,No
FTI,28.49,1.37,9.87,9.87,34.95000076293945,34.96,0.03,14.36500992,14.36911936,Energy,No
GLW,43.68,44.4,40.13,43.68,65.7699966430664,65.94,0.26,56.339828736,56.48545738751999,Technology,No
GOOG,3036.94,117.75,1842.16,1842.16,202.08999633789065,200.98,-0.55,2440.394964992,1091.32142572544,Communication Services,No
